content_id,word,normalized_word,language,part_of_speech,sense_key,meaning_vi,context_topic,example_en,example_vi,ipa,hook,cta,template_id,source,source_ref,license_note,publish_ok,review_status,reviewed_by,publish_at,status,claimed_at,render_id,publish_id,published_at,error_code,dedupe_key,created_at,updated_at
8bd7a7aa-8460-4fb0-9382-57e47b12f001,bank,bank,en,noun,financial_institution,"ngân hàng; tổ chức nhận, giữ và cho vay tiền",personal_finance,I deposited my first paycheck at the bank.,Tôi gửi tháng lương đầu tiên vào ngân hàng.,/bæŋk/,Một từ quen thuộc trong chủ đề tiền bạc.,Bạn sẽ dùng từ này trong câu nào?,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/bank,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,bank|noun|financial_institution|personal_finance,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f002,bank,bank,en,noun,river_edge,bờ đất dọc theo sông hoặc hồ,nature,We sat on the river bank and watched the boats.,Chúng tôi ngồi trên bờ sông và ngắm những con thuyền.,/bæŋk/,Bank không phải lúc nào cũng nói về tiền.,Lưu lại để nhớ hai nghĩa của bank.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/bank,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,bank|noun|river_edge|nature,2026-07-22T00:01:00Z,2026-07-22T00:01:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f003,run,run,en,verb,move_quickly_on_foot,chạy bằng chân với tốc độ nhanh hơn đi bộ,fitness,She runs in the park before breakfast.,Cô ấy chạy trong công viên trước bữa sáng.,/rʌn/,Run trong buổi tập thể dục nghĩa là gì?,Thử kể thói quen vận động của bạn.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/run,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,run|verb|move_quickly_on_foot|fitness,2026-07-22T00:02:00Z,2026-07-22T00:02:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f004,run,run,en,verb,operate_machine,làm cho máy móc hoặc hệ thống hoạt động,technology,This program can run on an older laptop.,Chương trình này có thể chạy trên một chiếc laptop đời cũ.,/rʌn/,Máy tính cũng có thể run.,Theo dõi để học từ theo đúng ngữ cảnh.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/run,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,run|verb|operate_machine|technology,2026-07-22T00:03:00Z,2026-07-22T00:03:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f005,bright,bright,en,adjective,full_of_light,sáng; có nhiều ánh sáng,home,The kitchen is bright in the morning.,Căn bếp sáng vào buổi sáng.,/braɪt/,Bright miêu tả một căn phòng như thế nào?,Nhìn quanh và đặt một câu với bright.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/bright,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,bright|adjective|full_of_light|home,2026-07-22T00:04:00Z,2026-07-22T00:04:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f006,bright,bright,en,adjective,intelligent,thông minh và học hỏi nhanh,education,The bright student found a simpler solution.,Người học sinh thông minh đã tìm ra một cách giải đơn giản hơn.,/braɪt/,Bright còn có thể khen trí thông minh.,Gửi câu này cho một người bạn ham học.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/bright,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,bright|adjective|intelligent|education,2026-07-22T00:05:00Z,2026-07-22T00:05:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f007,charge,charge,en,verb,ask_payment,tính hoặc yêu cầu trả một khoản tiền,shopping,The hotel charges extra for breakfast.,Khách sạn tính thêm phí cho bữa sáng.,/tʃɑːrdʒ/,Charge xuất hiện rất nhiều khi mua sắm.,Bạn từng gặp extra charge ở đâu?,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/charge,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,charge|verb|ask_payment|shopping,2026-07-22T00:06:00Z,2026-07-22T00:06:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f008,charge,charge,en,verb,fill_battery,nạp điện vào pin của thiết bị,technology,Please charge your phone before the trip.,Hãy sạc điện thoại trước chuyến đi.,/tʃɑːrdʒ/,Điện thoại sắp hết pin? Bạn cần động từ này.,Lưu từ để dùng trong chuyến đi tiếp theo.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/charge,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,charge|verb|fill_battery|technology,2026-07-22T00:07:00Z,2026-07-22T00:07:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f009,issue,issue,en,noun,problem,một vấn đề hoặc khó khăn cần xử lý,work,We need to solve this issue before launch.,Chúng ta cần giải quyết vấn đề này trước khi ra mắt.,/ˈɪʃ.uː/,Issue trong cuộc họp thường mang nghĩa gì?,Viết một câu về vấn đề bạn vừa giải quyết.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/issue,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,issue|noun|problem|work,2026-07-22T00:08:00Z,2026-07-22T00:08:00Z
8bd7a7aa-8460-4fb0-9382-57e47b12f010,issue,issue,en,noun,edition,một số hoặc kỳ phát hành của tạp chí hay ấn phẩm,media,The July issue includes an interview with the director.,Số tháng Bảy có bài phỏng vấn vị đạo diễn.,/ˈɪʃ.uː/,Một issue cũng có thể là một số tạp chí.,Theo dõi để phân biệt từ theo từng nghĩa.,vocabulary-pastel-v1,editorial_seed,https://dictionary.cambridge.org/dictionary/english/issue,Reference only; definition and examples paraphrased by editor,,needs_review,,,draft,,,,,,issue|noun|edition|media,2026-07-22T00:09:00Z,2026-07-22T00:09:00Z
